x,y
98.4,201
102,200.7
101,169.2
99.2,136.6
97,106.2
94.6,76.76
91.8,47.02
88.5,20.88
88.5,20.88
85.3,1.284
81.9,-15.5
78.9,-28.72
75.8,-41.32
72.6,-51.08
69.4,-58.66
66.1,-63.71
62.7,-67.83
59.3,-71.36
56.2,-76.07
52.9,-79.77
49.9,-84.37
46.7,-88.97
43.3,-93.61
39.9,-97.95
36.5,-103
33.3,-106.9
30,-110.3
26.8,-113.1
23.5,-115.7
20.3,-117.7
17.2,-119.8
17.2,-119.8
13.9,-121.7
10.8,-124.1
7.72,-126.2
4.69,-128.5
1.61,-130.6
-1.55,-133.1
-4.65,-136
-7.72,-139.1
-10.9,-142.1
-14,-145.7
-17.1,-149.1
-20.1,-152.3
-23.1,-155.4
-26.4,-159
-29.7,-162.5
-33.1,-164.8
-36.3,-167.9
-39.8,-170.8
-43.2,-173.4
-46.5,-176.4
-49.7,-179.3
-53.1,-181.7
-53.1,-181.7
-56,-183.8
-59.1,-186.9
-62.2,-188.4
-65.6,-190
-68.9,-191.9
-72.1,-194
-75.2,-195.6
-78.3,-196.5
-81.4,-196.5
-84.8,-197.1
-88,-196.4
-91.3,-196
-94.6,-194.5
-98.1,-192.2
-99.2,-160.4
-97.4,-131
-95.1,-101.5
-92.3,-71.68
-89.1,-42.55
-86,-18.48
-82.8,2.578
-79.6,19.14
-79.6,19.14
-76.6,31.16
-73.7,41.59
-70.5,50.29
-67.3,55.84
-63.8,60.01
-60.5,64.06
-57.4,67.23
-54.4,69.42
-51.2,72.24
-48.1,75.04
-44.7,77.68
-41.2,80.42
-38,82.61
-34.6,85.35
-31.2,88.31
-27.7,91.4
-24.3,93.98
-21.2,97.59
-18.2,100.1
-14.9,103.7
-11.8,106.4
-8.73,109.2
-8.73,109.2
-5.59,112.7
-2.35,115.1
0.898,119
4.09,121.8
7.1,123.8
10.3,126.8
13.4,128.9
16.6,132.1
19.7,134.1
22.9,137.2
26.2,138.3
29.4,139.6
32.8,141.1
36.1,142
39.5,143.4
42.9,143.3
46.2,144.1
49.5,143.9
52.8,143.5
55.6,142.9
59,141.5
62.5,140.4
62.5,140.4
65.8,129.4
69.4,136.2
72.7,133.5
75.9,131.1
79.2,128.1
82.8,123.9
84.3,116.4
82.6,84.86
80,53.71
76.9,23.92
73.8,1.928
70.4,-15.85
67.2,-29.54
63.8,-41.41
60.3,-51.84
57,-60.65
53.9,-67.88
50.8,-73.27
47.6,-77.94
44.3,-80.97
41.1,-83.68
37.5,-85.62
37.5,-85.62
32.1,-89.25
29,-90.29
25.5,-92.05
22.4,-93.29
19,-93.91
15.9,-94.81
12.7,-95.81
9.75,-96.6
6.5,-96.4
3.27,-96.26
0.00667,-96.93
-3.18,-98.97
-6.4,-98.84
-9.62,-99.01
-12.7,-99.7
-15.8,-100.7
-19,-101.4
-22.1,-102.3
-25.2,-102.4
-28.6,-103.7
-32.1,-103.8
-35.4,-104.5
-35.4,-104.5
-38.3,-99.29
-42,-105.6
-45.4,-105.4
-48.7,-105.2
-52.1,-104.1
-55.2,-103.7
-58.2,-103.7
-61.2,-102.9
-64.7,-103.2
-68,-102.3
-71.4,-99.71
-74.6,-97.85
-77.7,-92.85
-81.2,-90.44
-84.4,-87.54
-87.8,-85.77
-91.1,-82.48
-91,-59.93
-88.4,-31.06
-85.2,-8.628
-82,8.762
-78.8,20.96
-78.8,20.96
-75.7,29
-72.7,34.21
-69.5,38.16
-66.2,42.55
-63,46.93
-59.7,49.4
-56.6,51.36
-53.5,52.83
-50.3,53.9
-47,54.62
-43.6,54.68
-40.2,55.03
-36.7,55.22
-33.3,55.44
-29.9,55.36
-26.6,55.95
-23.2,56.65
-20.2,56.77
-17.1,56.93
-13.9,57.29
-10.8,57.38
-7.64,57.95
-7.64,57.95
-4.4,55.57
-1.27,60.33
1.92,60.53
5.07,61.69
8.14,62.48
11.3,61.74
14.5,62.38
17.6,62.8
20.8,62.14
24,60.68
27.4,60.14
30.8,59.05
34.1,57.93
37.4,56.7
40.9,55.02
44.3,53.98
47.6,51.21
50.9,50.81
54,47.89
57.1,44.11
60.6,41.45
64,39.97
64,39.97
67.5,38.53
70.9,34.71
72.1,31.36
70.2,2.452
67,-20.15
63.8,-35.82
60.4,-50.03
57.1,-60.14
53.9,-68
50.9,-74.7
47.7,-79.55
44.4,-83.85
42.2,-78.7
42.2,-73.54
42.2,-72.27
42.2,-70.41
42.2,-68.85
42.2,-66.18
42.2,-62.53
42.2,-61.34
42.2,-59.46
42.2,-57.52
42.2,-57.52
42.2,-53.23
42.2,-47.32
42.2,-44.59
42.2,-41.88
42.2,-37.01
42.2,-34.36
42.2,-31.66
42.2,-26.66
42.2,-23.63
42.2,-21.32
42.2,-18.92
42.2,-16.96
42.2,-15.71
42.2,-12.6
42.2,-10.7
42.2,-7.807
42.2,-4.84
42.2,-2.682
42.2,-0.9425
42.2,-0.7641
42.2,-0.8668
42.2,-0.7115
42.2,-0.7115
42.2,-0.6766
42.1,-0.6688
42.2,-0.5798
42.6,0.3557
42.6,0.487
42.6,0.326
42.8,0.6662
42.8,0.6586
42.8,0.4091
